unit_no,RUL_pred05,RUL_pred5,RUL_pred95,RUL_true
3.0,63.81804,126.58779,177.35686,129.0
3.0,61.61701,122.678925,184.09926,128.0
3.0,68.6618,131.5906,167.17119,127.0
3.0,70.78323,119.15079,196.3605,126.0
3.0,60.014206,119.02437,173.9055,125.0
3.0,67.48319,126.000755,156.71524,124.0
3.0,70.32848,124.006195,176.1005,123.0
3.0,68.763824,120.46988,185.50183,122.0
3.0,62.64816,120.80757,135.43442,121.0
3.0,67.47239,124.47077,155.88757,120.0
3.0,84.06037,107.778366,125.377716,119.0
3.0,58.74955,113.73163,166.9375,118.0
3.0,57.75558,100.88537,141.60326,117.0
3.0,63.503925,110.76373,158.63657,116.0
3.0,65.125786,102.03798,142.70863,115.0
3.0,65.222694,109.36025,152.74196,114.0
3.0,66.489555,104.61674,144.36974,113.0
3.0,71.60597,132.64365,151.4677,112.0
3.0,66.344406,115.52525,186.40439,111.0
3.0,64.533356,125.744545,146.9748,110.0
3.0,64.98059,115.0317,130.07524,109.0
3.0,69.037,120.314316,179.49017,108.0
3.0,55.0095,104.99247,162.72505,107.0
3.0,55.14194,96.452065,94.18493,106.0
3.0,49.90386,96.81852,124.78572,105.0
3.0,51.936695,111.40647,139.01013,104.0
3.0,64.10179,120.95709,158.47513,103.0
3.0,72.29517,117.05512,162.83583,102.0
3.0,54.048435,103.07464,144.28384,101.0
3.0,70.33082,109.37059,145.43854,100.0
3.0,59.524918,119.70292,149.35703,99.0
3.0,56.017014,108.12747,150.74467,98.0
3.0,66.63276,103.46476,183.97417,97.0
3.0,54.822765,102.28446,154.733,96.0
3.0,66.60263,106.10835,159.24123,95.0
3.0,60.38996,118.944084,142.5671,94.0
3.0,67.38868,106.187294,133.50136,93.0
3.0,69.82837,103.98489,147.03241,92.0
3.0,59.74749,110.49501,134.45488,91.0
3.0,57.411335,103.34444,174.51332,90.0
3.0,57.55793,98.56974,119.181274,89.0
3.0,48.12489,108.0783,139.75835,88.0
3.0,65.06708,107.953636,119.42443,87.0
3.0,64.16285,90.42492,117.8825,86.0
3.0,58.87265,111.456665,149.07031,85.0
3.0,62.10285,95.81526,124.13366,84.0
3.0,45.67984,86.44924,137.12807,83.0
3.0,54.649487,78.31321,98.39211,82.0
3.0,57.11262,94.46879,85.21897,81.0
3.0,44.28093,75.14407,77.49405,80.0
3.0,38.09497,68.47961,78.303444,79.0
3.0,55.554234,87.51299,112.371765,78.0
3.0,48.47398,64.792366,90.60644,77.0
3.0,51.521954,78.28084,103.1114,76.0
3.0,46.99676,94.6911,91.17544,75.0
3.0,51.907135,74.30221,152.52364,74.0
3.0,49.898495,83.356,84.33754,73.0
3.0,44.54687,84.18734,104.58496,72.0
3.0,42.868996,72.39029,81.933395,71.0
3.0,40.099007,70.39792,102.0174,70.0
3.0,29.431345,67.365005,116.69191,69.0
4.0,88.12377,129.20737,195.67377,157.0
4.0,91.30799,135.64598,201.40227,156.0
4.0,72.75162,120.572395,184.93164,155.0
4.0,78.38085,134.60031,192.89172,154.0
4.0,84.649506,122.62447,189.36223,153.0
4.0,84.88655,125.55474,217.29744,152.0
4.0,87.50036,127.593414,227.74242,151.0
4.0,87.06466,132.66618,200.56023,150.0
4.0,70.52365,130.37534,205.46657,149.0
4.0,71.23729,126.30674,216.86946,148.0
4.0,82.27108,122.26839,189.5519,147.0
4.0,73.91923,121.021,181.7597,146.0
4.0,68.184525,151.22574,199.46082,145.0
4.0,80.83649,137.54611,179.98503,144.0
4.0,56.90369,111.007095,167.3689,143.0
4.0,73.78215,125.63478,215.64413,142.0
4.0,82.39593,114.165634,202.07469,141.0
4.0,60.085052,108.6529,178.80595,140.0
4.0,71.50989,126.05042,166.17813,139.0
4.0,83.22506,120.97741,203.6174,138.0
4.0,72.4233,120.738365,208.75252,137.0
4.0,77.872025,104.27671,172.34018,136.0
4.0,68.87766,136.92343,199.3721,135.0
4.0,68.99714,127.58826,198.55322,134.0
4.0,72.04066,115.00302,179.237,133.0
4.0,69.464905,109.20388,163.23997,132.0
4.0,66.52434,128.02795,180.23947,131.0
4.0,80.17309,121.983635,172.02315,130.0
4.0,73.04636,111.61708,179.09714,129.0
4.0,69.76545,123.5366,173.19342,128.0
4.0,70.14121,123.06489,194.94699,127.0
4.0,82.066025,130.35683,185.654,126.0
4.0,83.14688,132.34186,164.57253,125.0
4.0,85.4581,126.90357,171.14964,124.0
4.0,78.27075,121.47396,157.49884,123.0
4.0,59.854248,115.618614,146.4312,122.0
4.0,68.304924,122.78032,191.28113,121.0
4.0,81.46611,123.39123,166.92404,120.0
4.0,74.238045,132.0147,200.08928,119.0
4.0,81.34599,113.59149,170.54031,118.0
4.0,75.99732,122.55229,141.50342,117.0
4.0,77.02919,118.75585,164.35173,116.0
4.0,77.15152,110.87307,157.28444,115.0
4.0,64.03046,110.93026,161.10165,114.0
4.0,61.850925,109.570465,146.39949,113.0
4.0,58.489086,105.8288,147.9581,112.0
4.0,55.96775,84.99088,115.23419,111.0
4.0,57.020805,103.20691,111.34602,110.0
4.0,65.278496,102.19853,168.68753,109.0
4.0,58.79743,102.66003,169.50209,108.0
4.0,65.8088,101.99137,178.05664,107.0
4.0,66.357475,111.86744,185.40442,106.0
4.0,62.47323,125.4168,172.65134,105.0
4.0,66.61211,115.22775,183.45659,104.0
4.0,69.43208,120.69066,164.34343,103.0
4.0,60.017838,110.67851,133.50528,102.0
4.0,80.97015,119.53129,132.7102,101.0
4.0,66.25831,111.39007,144.10919,100.0
4.0,62.47127,107.80078,141.64034,99.0
4.0,71.63813,121.869095,143.86548,98.0
4.0,68.98052,109.33805,149.63573,97.0
4.0,69.9072,122.68685,138.90564,96.0
4.0,68.73151,105.67309,183.91579,95.0
4.0,73.219536,114.442154,179.53694,94.0
4.0,65.1397,116.86513,176.53142,93.0
4.0,52.257393,112.13383,155.96318,92.0
4.0,62.115227,113.13575,156.84479,91.0
4.0,64.097336,110.09042,138.58989,90.0
4.0,64.9777,115.80141,95.63875,89.0
4.0,67.113464,107.455124,156.68355,88.0
4.0,68.46904,101.79929,119.64994,87.0
4.0,57.066532,97.56569,136.28662,86.0
4.0,67.083534,97.87746,122.15447,85.0
4.0,58.525238,104.42456,111.31782,84.0
4.0,60.876255,79.13141,140.62868,83.0
4.0,61.60843,97.30433,108.617424,82.0
5.0,66.16414,121.63875,152.64857,158.0
5.0,84.49005,137.16522,199.66335,157.0
5.0,93.95474,131.94185,223.75923,156.0
5.0,82.59077,137.25252,205.89555,155.0
5.0,85.587456,136.85011,198.62694,154.0
5.0,82.97512,132.43167,182.22989,153.0
5.0,83.219086,137.03049,189.47894,152.0
5.0,72.256004,129.56747,163.41307,151.0
5.0,69.841644,133.5073,169.76286,150.0
5.0,70.172775,134.34444,194.0275,149.0
5.0,70.46757,124.49262,232.22307,148.0
5.0,67.280235,109.01458,146.93483,147.0
5.0,65.0514,101.50369,166.08955,146.0
5.0,68.06061,97.32229,171.28188,145.0
5.0,65.26795,117.15682,184.1045,144.0
5.0,67.852745,97.74892,176.0903,143.0
5.0,75.847305,113.38973,178.37317,142.0
5.0,62.484352,110.3619,177.93393,141.0
5.0,77.43292,111.98191,183.15813,140.0
5.0,72.07833,114.822495,165.089,139.0
5.0,75.53777,96.09633,160.20663,138.0
5.0,78.041695,106.904205,161.05568,137.0
5.0,70.18151,122.50133,184.00542,136.0
5.0,78.68273,112.57494,169.10812,135.0
5.0,76.770195,118.43129,198.39856,134.0
5.0,75.03816,113.12634,167.4772,133.0
5.0,57.308086,119.830185,175.66148,132.0
5.0,81.63802,125.442894,197.21523,131.0
5.0,70.38211,134.31215,198.36008,130.0
5.0,76.84688,122.39043,164.82735,129.0
5.0,67.06858,122.56249,186.41637,128.0
5.0,75.0387,121.70262,184.28345,127.0
5.0,74.419235,123.36328,189.01372,126.0
5.0,62.60002,123.47304,184.92175,125.0
5.0,80.063675,135.94148,154.22159,124.0
5.0,68.56581,134.88548,176.39854,123.0
5.0,81.0818,125.949326,170.26355,122.0
5.0,77.80761,114.16034,199.87218,121.0
5.0,80.771935,115.15805,159.12442,120.0
5.0,62.483086,113.58925,179.19905,119.0
5.0,68.92525,112.740776,155.15785,118.0
5.0,64.61784,103.676895,177.6141,117.0
5.0,59.478214,112.15641,162.05902,116.0
5.0,69.671844,108.9217,167.24316,115.0
5.0,56.485294,92.708626,149.81213,114.0
5.0,68.25435,105.510155,148.2097,113.0
5.0,62.59406,104.3668,128.285,112.0
5.0,62.3255,99.94779,168.0776,111.0
5.0,80.12484,116.285805,134.44095,110.0
5.0,64.7724,113.683075,153.85988,109.0
5.0,63.10944,123.92743,159.54337,108.0
5.0,104.079735,105.68929,179.73872,107.0
5.0,66.88805,119.73074,151.83939,106.0
5.0,62.69755,112.11827,126.142555,105.0
5.0,79.054886,118.18692,166.27055,104.0
5.0,71.616936,106.91792,154.0247,103.0
5.0,62.763935,111.438545,161.37938,102.0
5.0,59.00192,122.04637,137.9445,101.0
5.0,58.64681,102.18809,147.58725,100.0
5.0,57.174004,110.14259,184.96411,99.0
5.0,64.782845,118.267746,171.28514,98.0
5.0,65.04526,113.779205,180.48442,97.0
5.0,64.80605,107.019684,150.48607,96.0
5.0,67.631905,103.08925,157.37708,95.0
5.0,53.31121,114.384094,153.26959,94.0
5.0,63.989735,103.686424,186.44487,93.0
5.0,53.81097,90.58266,163.16603,92.0
5.0,67.89567,102.992935,171.3832,91.0
6.0,85.52684,123.30307,220.43095,167.0
6.0,78.336586,135.21924,190.55713,166.0
6.0,65.5118,118.98087,199.4127,165.0
6.0,73.68999,124.87725,171.67343,164.0
6.0,69.75959,111.6582,164.87125,163.0
6.0,75.710884,120.55762,179.42972,162.0
6.0,71.56144,137.79764,182.81567,161.0
6.0,78.624214,129.27142,168.46408,160.0
6.0,83.54879,129.23723,198.02669,159.0
6.0,85.73032,128.91814,194.00491,158.0
6.0,78.82472,140.65367,158.24976,157.0
6.0,62.45131,145.61226,190.52895,156.0
6.0,80.95702,135.28156,188.12836,155.0
6.0,82.26279,135.9722,205.4236,154.0
6.0,72.11396,118.57697,174.89798,153.0
6.0,56.01681,109.2914,165.95422,152.0
6.0,67.97574,112.96951,177.5342,151.0
6.0,86.84792,118.16424,203.1835,150.0
6.0,74.479256,138.77022,210.05254,149.0
6.0,80.49321,134.3934,184.11623,148.0
6.0,76.20564,137.57246,192.08176,147.0
6.0,83.729004,135.07787,216.52136,146.0
6.0,79.31789,125.36686,198.45367,145.0
6.0,82.35605,125.14593,176.8756,144.0
6.0,81.036995,129.78499,208.26334,143.0
6.0,89.4448,136.9315,200.27516,142.0
6.0,85.42583,135.3877,196.90758,141.0
6.0,77.36077,119.76589,156.43402,140.0
6.0,88.136635,130.7048,196.95357,139.0
6.0,90.33893,139.45674,183.47922,138.0
6.0,79.41573,123.80061,206.00467,137.0
6.0,81.82881,137.00992,205.0958,136.0
6.0,73.91996,116.11258,164.6227,135.0
6.0,71.15258,112.17381,181.44247,134.0
6.0,66.25163,107.34074,149.18997,133.0
6.0,56.90261,94.441475,183.22572,132.0
6.0,65.94467,96.080154,173.46083,131.0
6.0,65.70574,110.264725,200.52649,130.0
6.0,71.51231,120.56956,161.53587,129.0
6.0,76.66152,135.11856,205.96144,128.0
6.0,70.31819,131.20255,212.41298,127.0
6.0,88.329124,140.7424,197.75905,126.0
6.0,70.90715,122.12164,196.95686,125.0
6.0,76.01694,134.58229,190.34604,124.0
6.0,85.65376,125.700294,188.48051,123.0
6.0,68.29881,137.22774,185.7781,122.0
6.0,69.82658,111.044,132.72209,121.0
6.0,77.21878,129.71887,161.86185,120.0
6.0,75.52508,128.62305,191.92813,119.0
6.0,68.58737,134.52055,189.84773,118.0
6.0,67.55124,120.75686,175.33527,117.0
6.0,70.12411,125.45292,167.17487,116.0
6.0,89.27699,134.00336,196.35904,115.0
6.0,66.58148,116.02336,136.38725,114.0
6.0,74.95062,127.4875,156.64783,113.0
6.0,73.52385,119.05009,158.66322,112.0
6.0,63.18523,115.16186,185.07175,111.0
6.0,65.63656,111.20319,194.00624,110.0
6.0,66.85078,112.09126,168.19409,109.0
6.0,78.868385,123.00834,154.50049,108.0
6.0,81.17408,125.13047,167.49997,107.0
6.0,91.14853,121.65909,178.39238,106.0
6.0,73.31547,118.36937,150.79103,105.0
6.0,77.5008,128.0459,161.38564,104.0
6.0,62.669167,134.58733,180.48988,103.0
6.0,74.05688,112.79003,146.42621,102.0
6.0,61.38228,116.65373,151.43555,101.0
6.0,79.91319,120.78688,191.30824,100.0
6.0,86.409225,135.104,210.87064,99.0
6.0,67.19009,129.19514,166.25279,98.0
6.0,80.26634,124.96694,177.05635,97.0
6.0,69.01713,104.78055,167.32794,96.0
6.0,55.78536,104.27235,195.23,95.0
6.0,70.62885,114.60466,161.13603,94.0
6.0,52.92819,97.50988,166.75288,93.0
7.0,109.288864,151.62769,228.68463,220.0
7.0,110.449684,156.25044,214.72481,219.0
7.0,108.68531,150.25342,215.9483,218.0
7.0,113.92395,147.14757,234.5319,217.0
7.0,113.22481,151.22072,214.22011,216.0
7.0,98.28058,160.8697,228.47897,215.0
7.0,94.72823,154.539,225.66597,214.0
7.0,94.54247,137.59866,230.76707,213.0
7.0,110.44416,141.28654,234.6184,212.0
7.0,92.032036,147.85968,202.96393,211.0
7.0,109.82053,132.16698,217.18103,210.0
7.0,107.61016,148.5709,225.55188,209.0
7.0,107.20838,158.8459,213.89943,208.0
7.0,110.132,142.06935,213.26328,207.0
7.0,82.71236,140.46037,195.75587,206.0
7.0,102.449585,142.4256,227.4949,205.0
7.0,109.2483,149.86513,241.15146,204.0
7.0,107.119255,141.54744,220.57816,203.0
7.0,100.94642,155.9771,226.51993,202.0
7.0,106.45982,140.95757,214.364,201.0
7.0,102.41016,137.86679,213.61557,200.0
7.0,109.992424,134.59297,209.7385,199.0
7.0,102.55971,151.92218,209.58081,198.0
7.0,102.32128,159.65115,235.1563,197.0
7.0,108.47931,155.07417,222.20146,196.0
7.0,117.317375,158.30405,209.76424,195.0
7.0,108.30421,133.99736,219.56187,194.0
7.0,108.30015,143.75269,197.78557,193.0
7.0,110.58234,148.84904,193.32863,192.0
7.0,114.06125,154.279,201.60777,191.0
7.0,111.19394,150.95105,228.90195,190.0
7.0,113.71014,150.76518,218.63914,189.0
7.0,113.98191,166.38388,211.4226,188.0
7.0,116.23244,154.40453,232.3529,187.0
7.0,117.29164,167.09927,214.78777,186.0
7.0,105.554535,156.45322,206.34225,185.0
7.0,100.57046,154.5303,212.39609,184.0
7.0,107.80017,140.63145,264.3537,183.0
7.0,107.57741,153.44101,211.4681,182.0
7.0,108.4831,138.41263,232.07918,181.0
7.0,100.07369,143.95914,209.27095,180.0
7.0,98.8837,143.82104,200.2979,179.0
7.0,107.44963,143.838,222.42717,178.0
7.0,101.98185,153.27544,199.50656,177.0
7.0,92.12058,142.36122,246.72578,176.0
7.0,105.53268,155.22,199.3105,175.0
7.0,105.32225,139.06175,217.79549,174.0
7.0,91.60951,124.73947,215.07776,173.0
7.0,101.49697,135.23618,214.56897,172.0
7.0,83.117714,144.51247,227.28534,171.0
7.0,97.960846,135.79358,216.80986,170.0
7.0,99.810165,136.64908,208.37593,169.0
7.0,104.56638,121.54506,229.57146,168.0
7.0,110.67287,134.5328,203.98563,167.0
7.0,95.87862,137.00792,198.63486,166.0
7.0,102.61352,128.77396,209.8858,165.0
7.0,98.81825,142.6798,212.42549,164.0
7.0,100.77724,135.08383,246.72404,163.0
7.0,99.49514,112.75277,190.49811,162.0
7.0,96.08731,122.29478,244.39912,161.0
7.0,99.212654,122.739944,215.61177,160.0
7.0,109.17528,134.46523,238.59921,159.0
7.0,117.040665,142.43985,219.09184,158.0
7.0,107.74011,143.10611,213.15828,157.0
7.0,112.52182,145.04471,205.1162,156.0
7.0,105.033485,140.3427,251.41911,155.0
7.0,114.27573,125.43335,239.60602,154.0
7.0,95.57177,140.85355,193.28537,153.0
7.0,104.09286,134.84975,186.42648,152.0
7.0,99.621086,139.68245,213.53801,151.0
7.0,109.7126,118.911,224.58603,150.0
7.0,99.3784,119.33563,189.61096,149.0
7.0,94.126495,125.46195,255.32346,148.0
7.0,103.758804,123.53747,210.11693,147.0
7.0,93.02141,122.73105,204.74347,146.0
7.0,97.76843,123.0026,211.65587,145.0
7.0,102.10615,144.04396,202.56984,144.0
7.0,95.867966,141.91055,200.29378,143.0
7.0,101.69018,128.02882,227.45317,142.0
7.0,98.96228,134.45683,203.60306,141.0
7.0,95.59862,130.25665,247.28134,140.0
7.0,94.36742,131.68639,202.65051,139.0
7.0,95.19714,123.13084,198.56639,138.0
7.0,86.457535,113.79307,220.0857,137.0
7.0,99.77228,114.6013,210.77557,136.0
7.0,83.1436,108.157715,222.69057,135.0
7.0,111.36993,126.55149,186.79892,134.0
7.0,90.052284,121.17884,218.48874,133.0
7.0,89.41642,116.342804,181.31924,132.0
7.0,83.929016,106.17001,202.58847,131.0
7.0,76.19204,94.15681,204.77786,130.0
7.0,78.466194,104.76855,219.73154,129.0
7.0,84.94656,107.879105,206.21338,128.0
7.0,99.6286,118.54499,216.86955,127.0
7.0,90.70721,104.09662,218.55617,126.0
7.0,83.35656,110.014656,207.43546,125.0
7.0,88.813995,110.2311,191.39302,124.0
7.0,89.31839,125.55819,205.7574,123.0
7.0,80.61472,120.23753,197.05875,122.0
7.0,89.12325,130.55705,213.34532,121.0
7.0,82.826675,111.63215,203.22963,120.0
7.0,97.01367,118.85622,212.76369,119.0
7.0,88.33241,110.13268,191.31927,118.0
7.0,92.73343,110.83081,214.67812,117.0
7.0,87.97749,113.1816,209.41753,116.0
7.0,94.45769,131.9471,190.32582,115.0
7.0,87.91745,120.82092,176.72383,114.0
7.0,87.074295,107.12971,215.15996,113.0
7.0,97.91188,116.40564,194.93517,112.0
7.0,92.35676,117.67322,207.44112,111.0
7.0,102.11288,120.3064,243.89435,110.0
7.0,77.13209,112.25594,192.43484,109.0
7.0,86.49455,111.94965,190.54791,108.0
7.0,75.586525,107.49227,183.23248,107.0
7.0,81.45998,108.98877,178.17436,106.0
7.0,66.47236,93.83592,215.5052,105.0
7.0,76.9931,105.92772,191.23311,104.0
7.0,72.84855,111.87363,196.72392,103.0
7.0,73.63493,106.76533,180.19324,102.0
7.0,73.75992,102.05208,182.24037,101.0
7.0,74.229294,92.68745,214.85019,100.0
7.0,83.53325,111.52467,212.86987,99.0
7.0,86.917496,97.34315,214.72726,98.0
7.0,69.49306,104.17874,205.73698,97.0
7.0,66.22315,118.9876,172.16772,96.0
7.0,76.770195,112.24643,182.32019,95.0
7.0,78.85385,113.657265,201.71448,94.0
7.0,71.988,117.8591,200.44017,93.0
7.0,75.93899,111.89697,156.52338,92.0
7.0,79.3878,103.960335,184.84549,91.0
8.0,92.326065,151.49562,194.62372,230.0
8.0,78.28659,136.02194,186.21469,229.0
8.0,78.89615,139.11,224.40994,228.0
8.0,81.105705,129.7417,190.78128,227.0
8.0,84.514206,133.0598,187.86716,226.0
8.0,90.1741,135.13713,208.54327,225.0
8.0,89.74781,135.58537,181.59534,224.0
8.0,85.54281,130.883,198.60115,223.0
8.0,89.65491,143.04675,193.90405,222.0
8.0,91.89518,137.2282,219.92908,221.0
8.0,86.992355,134.19383,211.62093,220.0
8.0,87.09467,158.28,186.33876,219.0
8.0,93.01236,142.18054,183.45316,218.0
8.0,90.09064,137.1983,199.31476,217.0
8.0,74.92465,128.33507,188.94931,216.0
8.0,80.916046,140.74872,210.59497,215.0
8.0,77.94573,146.52536,208.68747,214.0
8.0,88.70071,134.4699,206.84589,213.0
8.0,90.99684,131.58192,192.94923,212.0
8.0,80.21706,150.03143,205.08565,211.0
8.0,87.10011,141.58597,194.33502,210.0
8.0,82.537415,137.79803,234.09265,209.0
8.0,78.70478,135.49591,183.20822,208.0
8.0,80.45473,116.341255,182.31036,207.0
8.0,78.15466,133.0662,205.17091,206.0
8.0,55.33303,123.41836,190.55545,205.0
8.0,76.2838,114.98987,189.19284,204.0
8.0,70.84801,125.628975,186.13826,203.0
8.0,80.04209,123.797035,205.63327,202.0
8.0,86.303116,135.91357,190.1222,201.0
8.0,76.039856,133.08781,195.28967,200.0
8.0,81.53315,127.953575,187.24913,199.0
8.0,72.89978,130.3952,203.47672,198.0
8.0,81.56846,144.91568,207.9573,197.0
8.0,99.89501,139.49777,208.87895,196.0
8.0,84.22572,133.91705,202.71841,195.0
8.0,85.47477,133.04169,176.34123,194.0
8.0,87.12042,142.24634,182.54335,193.0
8.0,89.26014,147.71596,212.49965,192.0
8.0,80.41893,144.12523,223.18407,191.0
8.0,80.04919,130.41698,210.98576,190.0
8.0,68.27581,127.20965,203.21346,189.0
8.0,78.91328,144.57037,198.31454,188.0
8.0,81.52907,129.43509,180.57935,187.0
8.0,73.19176,132.28279,203.8714,186.0
8.0,91.18579,128.42989,193.9129,185.0
8.0,80.54075,134.90475,214.77731,184.0
8.0,86.21085,146.25783,205.92578,183.0
8.0,86.57943,141.07855,201.17612,182.0
8.0,79.68654,142.76906,198.37048,181.0
8.0,80.77138,141.09633,182.54573,180.0
8.0,85.57823,150.04721,187.97223,179.0
8.0,83.75615,136.97243,186.49207,178.0
8.0,65.65818,131.38481,156.50436,177.0
8.0,78.75357,134.25085,173.45924,176.0
8.0,72.30635,138.95201,186.93619,175.0
8.0,84.242935,125.78416,183.528,174.0
8.0,78.976654,134.97469,158.29346,173.0
8.0,87.73174,138.04836,163.59692,172.0
8.0,91.01974,152.82997,213.80383,171.0
8.0,72.48675,133.77138,181.55708,170.0
8.0,74.86356,122.511986,187.68906,169.0
8.0,79.18141,139.3373,189.87004,168.0
8.0,66.445496,131.9973,173.1105,167.0
8.0,80.27905,129.60844,176.16591,166.0
8.0,69.168236,134.96994,186.86331,165.0
8.0,74.37706,123.64695,180.40674,164.0
8.0,84.28633,131.20244,197.07166,163.0
8.0,75.860405,135.39651,203.58723,162.0
8.0,72.74836,122.06432,180.95862,161.0
8.0,73.409676,121.51431,208.06418,160.0
8.0,79.91581,118.89879,204.98958,159.0
8.0,75.82599,123.564125,150.43756,158.0
8.0,80.54777,124.16173,180.96425,157.0
8.0,85.21372,112.11569,144.4788,156.0
8.0,67.5763,117.5262,189.1621,155.0
8.0,75.648834,133.42516,161.08475,154.0
8.0,82.880516,129.01665,170.58154,153.0
8.0,87.33065,139.46603,188.94394,152.0
8.0,63.109924,131.33238,175.27554,151.0
8.0,82.896164,136.71153,204.32423,150.0
8.0,81.99354,130.06235,196.2683,149.0
8.0,81.70949,146.6164,184.60075,148.0
8.0,74.73164,125.67035,197.37892,147.0
8.0,71.98542,117.67417,189.09937,146.0
8.0,61.099323,127.937614,179.23328,145.0
8.0,75.18149,125.37397,167.6415,144.0
8.0,63.598057,131.68773,180.31277,143.0
8.0,74.35369,129.68652,177.93802,142.0
8.0,74.0145,142.3984,191.47548,141.0
8.0,66.51476,125.556335,207.65785,140.0
8.0,76.85762,144.83374,212.07845,139.0
8.0,79.10971,135.53905,189.60968,138.0
8.0,74.02836,133.58934,204.16359,137.0
8.0,81.20125,138.40083,146.60416,136.0
8.0,80.774475,133.1985,191.5239,135.0
8.0,78.80913,137.04443,199.49559,134.0
8.0,78.469444,140.80261,163.81729,133.0
8.0,81.613,127.96816,168.07387,132.0
8.0,72.33913,121.091156,178.33215,131.0
8.0,68.9622,105.01791,193.22919,130.0
8.0,66.14732,116.33396,201.83633,129.0
8.0,76.49766,129.90063,158.41107,128.0
8.0,76.13828,122.858345,132.42181,127.0
8.0,79.03189,112.7344,158.55222,126.0
8.0,82.647804,128.23515,162.48897,125.0
8.0,70.01108,125.92325,157.09222,124.0
8.0,77.239174,121.78662,159.27748,123.0
8.0,74.22143,113.40825,143.80692,122.0
8.0,62.510952,120.994,169.2158,121.0
8.0,70.10975,105.771675,155.98944,120.0
8.0,80.66165,101.44449,163.88506,119.0
8.0,89.463005,118.70107,156.84392,118.0
8.0,71.9436,117.83366,150.28218,117.0
8.0,72.006386,119.1704,174.64125,116.0
8.0,60.81538,88.132454,133.84976,115.0
8.0,69.41936,102.25896,156.38434,114.0
8.0,74.44299,101.88859,170.0556,113.0
8.0,82.18686,128.56334,182.93193,112.0
8.0,74.16881,125.38203,186.47859,111.0
8.0,73.00735,122.61372,149.66669,110.0
8.0,64.25177,112.977394,158.31044,109.0
8.0,57.911797,115.27461,141.5157,108.0
8.0,67.23063,118.72725,144.57869,107.0
8.0,65.13065,119.99592,133.00836,106.0
8.0,63.270306,114.83506,139.3588,105.0
8.0,64.54054,113.464096,170.95609,104.0
8.0,61.17619,111.662,197.70004,103.0
8.0,48.487217,111.09564,161.00494,102.0
8.0,67.0482,121.38028,151.90552,101.0
8.0,51.365105,116.2707,161.27126,100.0
8.0,58.28481,111.81413,159.40991,99.0
8.0,57.77843,105.94625,146.46118,98.0
8.0,60.301117,103.37144,166.97276,97.0
8.0,63.684868,116.84325,166.40147,96.0
8.0,74.72035,115.7716,147.56519,95.0
9.0,77.802444,133.06738,159.76826,135.0
9.0,86.85276,128.02917,148.96849,134.0
9.0,73.76163,138.76979,177.94312,133.0
9.0,74.54344,130.82906,173.10217,132.0
9.0,78.27437,124.27023,184.02429,131.0
